Period,Area,Mission,Category,Indicator,Observation
government-year/2019-2020,E08000008,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4180
government-year/2020-2021,E08000008,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3880
government-year/2018-2019,E08000009,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3510
government-year/2019-2020,E08000009,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2600
government-year/2020-2021,E08000009,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2890
government-year/2018-2019,E08000010,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,7370
government-year/2019-2020,E08000010,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5010
government-year/2020-2021,E08000010,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4420
government-year/2018-2019,E10000017,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,27130
government-year/2019-2020,E10000017,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,19520
government-year/2020-2021,E10000017,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,19240
government-year/2018-2019,E08000011,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4100
government-year/2019-2020,E08000011,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3150
government-year/2020-2021,E08000011,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2930
government-year/2018-2019,E08000012,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,14860
government-year/2019-2020,E08000012,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,11550
government-year/2020-2021,E08000012,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,12110
government-year/2018-2019,E08000014,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5660
government-year/2019-2020,E08000014,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4190
government-year/2020-2021,E08000014,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4280
government-year/2018-2019,E08000013,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4470
government-year/2019-2020,E08000013,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3390
government-year/2020-2021,E08000013,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3040
government-year/2018-2019,E08000015,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,6760
government-year/2019-2020,E08000015,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,4610
government-year/2020-2021,E08000015,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5120
government-year/2018-2019,E06000011,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,7980
government-year/2019-2020,E06000011,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5770
government-year/2020-2021,E06000011,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5350
government-year/2018-2019,E06000010,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,8940
government-year/2019-2020,E06000010,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5970
government-year/2020-2021,E06000010,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5770
government-year/2018-2019,E06000012,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3970
government-year/2019-2020,E06000012,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3140
government-year/2020-2021,E06000012,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2650
government-year/2018-2019,E06000013,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3570
government-year/2019-2020,E06000013,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,3060
government-year/2020-2021,E06000013,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2670
government-year/2018-2019,E06000014,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2770
government-year/2019-2020,E06000014,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2390
government-year/2020-2021,E06000014,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,2920
government-year/2018-2019,E10000023,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,10620
government-year/2019-2020,E10000023,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,9630
