Period,Area,Mission,Category,Indicator,Observation
government-year/2020-2021,E06000050,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4690.0
government-year/2018-2019,E06000006,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3260.0
government-year/2019-2020,E06000006,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2290.0
government-year/2020-2021,E06000006,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2200.0
government-year/2018-2019,E06000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4720.0
government-year/2019-2020,E06000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2590.0
government-year/2020-2021,E06000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2610.0
government-year/2018-2019,E10000006,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9920.0
government-year/2019-2020,E10000006,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6850.0
government-year/2020-2021,E10000006,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6890.0
government-year/2018-2019,E08000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6780.0
government-year/2019-2020,E08000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5510.0
government-year/2020-2021,E08000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4430.0
government-year/2018-2019,E08000002,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4050.0
government-year/2019-2020,E08000002,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3240.0
government-year/2020-2021,E08000002,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2900.0
government-year/2018-2019,E08000003,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,15240.0
government-year/2019-2020,E08000003,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,12010.0
government-year/2020-2021,E08000003,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,12550.0
government-year/2018-2019,E08000004,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7170.0
government-year/2019-2020,E08000004,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5320.0
government-year/2020-2021,E08000004,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4980.0
government-year/2018-2019,E08000005,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5430.0
