Label,Notation,Parent Notation,Sort Priority,Description
I trust the person or organisation that shared it with me,i-trust-the-person-or-organisation-that-shared-it-with-me,,203,
I understand what it is and am interested in getting it in the near future,i-understand-what-it-is-and-am-interested-in-getting-it-in-the-near-future,,204,
I understand what it is but am not interested in getting it in the near future,i-understand-what-it-is-but-am-not-interested-in-getting-it-in-the-near-future,,205,
I would feel out of place,i-would-feel-out-of-place,,206,
I would get 5G if it were free,i-would-get-5g-if-it-were-free,,207,
I would never get 5G regardless of what it cost,i-would-never-get-5g-regardless-of-what-it-cost,,208,
I would not be willing to pay any more for a 5G data plan,i-would-not-be-willing-to-pay-any-more-for-a-5g-data-plan,,209,
I would not be willing to pay any more per month for 1Gbps (1000Mbps) speeds,i-would-not-be-willing-to-pay-any-more-per-month-for-1gbps-1000mbps-speeds,,210,
I would not be willing to pay any more to double my broadband speed,i-would-not-be-willing-to-pay-any-more-to-double-my-broadband-speed,,211,
I would pay more for 5G if I really thought it would benefit me,i-would-pay-more-for-5g-if-i-really-thought-it-would-benefit-me,,212,
Identify secure websites by looking for the padlock and https in the address bar,identify-secure-websites-by-looking-for-the-padlock-and-https-in-the-address-bar,,213,
In person from a high street or retail park,in-person-from-a-high-street-or-retail-park,,214,
In some other way,in-some-other-way,,215,
Inner London - East,inner-london-east,,216,
Inner London - West,inner-london-west,,217,
Intermediate occupations,intermediate-occupations,,218,
It conflicts with my personal views,it-conflicts-with-my-personal-views,,219,
It doesn’t feel very  important,it-doesn-t-feel-very-important,,220,
It has been verified as true by a fact checking organisation,it-has-been-verified-as-true-by-a-fact-checking-organisation,,221,
It is funny or amusing,it-is-funny-or-amusing,,222,
It is important but I don’t have enough information to choose between providers based on their security standards,it-is-important-but-i-don-t-have-enough-information-to-choose-between-providers-based-on-their-security-standards,,223,
It is interesting,it-is-interesting,,224,
It is well-researched,it-is-well-researched,,225,
It may be important but I don't have enough information about what happens when security standards are not high enough,it-may-be-important-but-i-don-t-have-enough-information-about-what-happens-when-security-standards-are-not-high-enough,,226,
It reflects my personal views,it-reflects-my-personal-views,,227,
It was in the area,it-was-in-the-area,,228,
It was low cost or free,it-was-low-cost-or-free,,229,
It was recommended (for example by a friend or guide book),it-was-recommended-for-example-by-a-friend-or-guide-book,,230,
"It was recommended (for example by a friend, website or guidebook)",it-was-recommended-for-example-by-a-friend-website-or-guidebook,,231,
I’m not interested,i-m-not-interested,,232,
Jewish,jewish,,233,
"Joined video calls with family, friends (for example Microsoft Teams, Zoom, FaceTime)",joined-video-calls-with-family-friends-for-example-microsoft-teams-zoom-facetime,,234,
Keep as a spare,keep-as-a-spare,,235,
Kent,kent,,236,
Lancashire,lancashire,,237,
Laptop computer,laptop-computer,,238,
Laptop computerl,laptop-computerl,,239,
"Leicestershire, Rutland and Northamptonshire",leicestershire-rutland-and-northamptonshire,,240,
Less often,less-often,,241,
Less often than once a month but at least 3 or 4 times a year,less-often-than-once-a-month-but-at-least-3-or-4-times-a-year,,242,
Less often than once a week but at least once a month,less-often-than-once-a-week-but-at-least-once-a-month,,243,
Less than 30 minutes,less-than-30-minutes,,244,
Lincolnshire,lincolnshire,,245,
Listened to a podcast,listened-to-a-podcast,,246,
Listened to an audiobook,listened-to-an-audiobook,,247,
Listened to downloaded music,listened-to-downloaded-music,,248,
"Listened to live radio online through a computer, laptop, tablet or phone",listened-to-live-radio-online-through-a-computer-laptop-tablet-or-phone,,249,
"Listened to streamed music (for example, through iTunes, Spotify)",listened-to-streamed-music-for-example-through-itunes-spotify,,250,
"Live arts event including theatre, visual arts or literature",live-arts-event-including-theatre-visual-arts-or-literature,,251,
"Live music or dance event, watched as it was happening",live-music-or-dance-event-watched-as-it-was-happening,,252,
London,london,,253,
"Looked for information or advice on cyber careers (such as security engineer, security architect or security analyst)",looked-for-information-or-advice-on-cyber-careers-such-as-security-engineer-security-architect-or-security-analyst,,254,
Lower supervisory and technical occupations,lower-supervisory-and-technical-occupations,,255,
Male,male,,256,
"Managerial, administrative and professional occupations",managerial-administrative-and-professional-occupations,,257,
Maths,maths,,258,
Merseyside,merseyside,,259,
Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,mixed/multiple-ethnic-groups-any-other-mixed/multiple-ethnic-background,,260,
Mixed/Multiple ethnic groups - Total,mixed/multiple-ethnic-groups-total,,261,
Mixed/Multiple ethnic groups - White and Asian,mixed/multiple-ethnic-groups-white-and-asian,,262,
Mixed/Multiple ethnic groups - White and Black African,mixed/multiple-ethnic-groups-white-and-black-african,,263,
Mixed/Multiple ethnic groups - White and Black Caribbean,mixed/multiple-ethnic-groups-white-and-black-caribbean,,264,
Monitor privacy settings on my social media and other accounts to improve security,monitor-privacy-settings-on-my-social-media-and-other-accounts-to-improve-security,,265,
More than 10,more-than-10,,266,
"More than 100Mbps, less than 1000Mbps (also known as ""Full Fibre"" connections)",more-than-100mbps-less-than-1000mbps-also-known-as-full-fibre-connections,,267,
"More than 10Mbps, up to 24Mbps (also known as ADSL)",more-than-10mbps-up-to-24mbps-also-known-as-adsl,,268,
More than 12 months but less than 2 years,more-than-12-months-but-less-than-2-years,,269,
"More than 24Mbps, up to 100Mbps ( also known as ""Superfast speeds"")",more-than-24mbps-up-to-100mbps-also-known-as-superfast-speeds,,270,
"More than 2Mbps, up to 10Mbps",more-than-2mbps-up-to-10mbps,,271,
More than £15,more-than-ps15,,272,
More than £35,more-than-ps35,,273,
More than £60,more-than-ps60,,274,
Most of the time,most-of-the-time,,275,
Most of them,most-of-them,,276,
Mountains or hills,mountains-or-hills,,277,
Music performances,music-performances,,278,
Muslim,muslim,,279,
My online activity can be used by others both now and in the future,my-online-activity-can-be-used-by-others-both-now-and-in-the-future,,280,
My online activity produces a permanent record,my-online-activity-produces-a-permanent-record,,281,
National Trust,national-trust,,282,
Neither agree or disagree,neither-agree-or-disagree,,283,
Neither satisfied nor dissatisfied,neither-satisfied-nor-dissatisfied,,284,
Neither strongly or not strongly,neither-strongly-or-not-strongly,,285,
Never,never,,286,
Never worked and long-term unemployed,never-worked-and-long-term-unemployed,,287,
No,no,,288,
No activities,no-activities,,289,
No particular reason,no-particular-reason,,290,
No reason in particular,no-reason-in-particular,,291,
No religion,no-religion,,292,
"No, I prefer to upskill myself",no-i-prefer-to-upskill-myself,,293,
"No, not at all",no-not-at-all,,294,
None of the above,none-of-the-above,,295,
None of them,none-of-them,,296,
None of these,none-of-these,,297,
North East,north-east,,298,
North West,north-west,,299,
North Yorkshire,north-yorkshire,,300,
"Northumberland, and Tyne and Wear",northumberland-and-tyne-and-wear,,301,
Not Private Households,not-private-households,,302,
Not at all important,not-at-all-important,,303,
Not at all strongly,not-at-all-strongly,,304,
Not very important,not-very-important,,305,
Not very often,not-very-often,,306,
Not very strongly,not-very-strongly,,307,
Not working,not-working,,308,
Once in the last 12 months,once-in-the-last-12-months,,309,
"Online marketplace (such as eBay, Facebook)",online-marketplace-such-as-ebay-facebook,,310,
Online shop (such as Amazon),online-shop-such-as-amazon,,311,
Opening a bank account,opening-a-bank-account,,312,
Other,other,,313,
